index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
52,Change in wine profile,4,3,Vineyards,31,8,All,,,Adapting wine profile to consumers' demand but also for overcoming climatic stress with an impact on grapes quality,2,2,2,2,2,2,2,2,2,2,"Wines' characteristics has changed over the time as consumers' preferences do. This gives win producers more chances to overcome some problems (eg. Heavy and alcoholic wines, a regular problem for red varieties affected by heat waves, can be balanced with a higher acidity)",3,Cambios en el perfil del vino,Viñedos,Todas,,"Adaptar el perfil del vino a la demanda de los consumidores, pero también para superar el estrés climático con un impacto en la calidad de las uvas.","Las características de los vinos han cambiado con el tiempo como lo hacen las preferencias de los consumidores. Esto le da a los productores más oportunidades de superar algunos problemas (por ejemplo, los vinos pesados y alcohólicos, un problema habitual para las variedades rojas afectadas por las olas de calor, se pueden equilibrar con una mayor acidez)"
53,Focus on quality production instead of quantity,4,3,Vineyards,31,8,All,,,"Quality production entails a less intensive farming pressure, a healthier and more resilient agriecosystem",2,2,2,1,1,1,2,5,2,2,"When vines are not under a stressing situation, the organoleptic quality of the grapes obtained is higher, resulting in a better potential for wine production and better revenues. Plants under this situation are also easier to manage (less impact from pest, less nutrient needs, etc.) ",3,Estrategia productiva basada en la calidad y no en la cantidad,Viñedos,Todas,,"La producción de calidad implica una presión agrícola menos intensiva, un agroecosistema más sano y más resistente","Cuando las viñas no están bajo una situación de estrés, la calidad organoléptica de las uvas obtenidas es mayor, lo que resulta en un mejor potencial para la producción de vino y mejores ingresos. Las plantas en esta situación también son más fáciles de manejar (menos impacto de plagas, menos necesidades de nutrientes, etc.)"
54,Changes in the Indication of Origin requirements,4,3,Vineyards,31,8,All,,,Changes in requirements that may reduce farmers' adaptation possibilities (eg. use of varieties),2,2,2,2,2,2,2,2,2,2,Some requirements included in the Indications of Origin (and similar quality marks) can constrict adaptation measures (eg. using new varieties),3,Cambios en especificaciones de figuras de calidad,Viñedos,Todas,,"Cambios en los requisitos que pueden reducir las posibilidades de adaptación de los agricultores (por ejemplo, uso de variedades)","Algunos requisitos incluidos en las Indicaciones de origen (y marcas de calidad similares) pueden restringir las medidas de adaptación (por ejemplo, usar nuevas variedades)"
55,Source grapes from cooler areas,4,3,Vineyards,31,3,Summer,1,Summer,Import grapes from other regions or use grapes from other parts of the farms,1,3,2,2,2,2,2,4,2,2,"Grapes produced under better conditions can be compensated by grapes with a lower quality, from the same farm or close areas It may suppose economic investments",3,Aprovisionamiento de uva de otras zonas más frescas,Viñedos,Verano,Verano,Importar uvas de otras regiones o usar uvas de otras zonas de las explotaciones,"Las uvas producidas en mejores condiciones pueden ser compensadas por uvas de menor calidad, de la misma explotación o áreas cercanas. Supondría inversiones económicas."
56,Coupage of different wines/varieties,4,3,Vineyards,31,8,All,,,Mix different wines obtained for optimizing wine profile and/or reducing defects,1,2,2,2,2,2,2,2,2,1,"Wine coupage (mixing different wines) is a common technique in wineries for balancing wines, and that can help to reduce the impact of low quality grapes afected by adverse meteorological conditions",3,Coupage de diferetes vinos o variedades,Viñedos,Todas,,Mezclar diferentes vinos obtenidos para optimizar el perfil del vino y / o reducir defectos.,El coupage del vino (mezcla de diferentes vinos) es una técnica común en las bodegas para equilibrar los vinos y puede ayudar a reducir el impacto de las uvas de baja calidad afectadas por condiciones meteorológicas adversas
57,Corrective measures during processing  ,4,3,Vineyards,31,8,All,,,Use of processing techniques and products (eg. Specific yeast strains)  for correcting problems during fermentation,1,2,2,2,2,2,2,2,2,2,"Different techniques (cation exchange resins, yeast strains, fermentation temperatures, other additives…) can be used during wine making. The are used to adjust wine characteristics but they can also help to balance low qulaity grapes affcted by adverse meteorological conditions",3,Medidas correctivas en bodega,Viñedos,Todas,,"Uso de técnicas y productos de procesamiento (por ejemplo, cepas de levadura específicas) para corregir problemas durante la fermentación","Se pueden utilizar diferentes técnicas (resinas de intercambio catiónico, cepas de levadura, temperaturas de fermentación, otros aditivos...) durante la elaboración del vino. Se utilizan para ajustar las características del vino, pero también pueden ayudar a equilibrar las uvas de baja calidad afectadas por condiciones meteorológicas adversas"
58,Regeneration of trees in agroforestry systems,4,2,Extensive livestock systems,21,8,All,,,Protection of new trees from cattle or reforestation with Spanish holm oak Quercus ilex .,2,1,1,1,1,1,1,4,1,1,Regeneration of trees in agroforestry systems are considered as an expensive measure by farmers because it has been done by traditional reforestation with high costs of plants and materials for protection of new trees from animals. Other  systemas are avalailbe for natural regenerations as summer exclusion of cattle or natural proteciont with thorny plants as hawthorns.,3,Regeneración del arbolado,Ganadería extensiva,Todas,,Garantizar la regeneración del arbolado mediante la protección de ejemplares jóvenes o reforestación.,"Esta medida es muy costosa si se realiza a través de reforestaciones, sin embargo, existen otros métodos más económicos como la exclusión del ganado en momentos sensibles o la protección del arbolado con plantas espinosas.  "
59,Rotational grazing management plan,4,2,Extensive livestock systems,22,8,All,,,Design of rotational management plan based on recovery time of grasslands. ,3,1,1,1,1,1,1,5,1,1,"Rotational grazing managament plans in semiarid context have been demostrated very possitive because it impact on soil and grassland production. Even though, it is a ""new"" granzing managment tecnique  for most of farmers. Because of this, the main constraint for its implementation is the lack of knowledge at farm level and the scarcity of farms which are already implementing. ",3,Plan de manejo rotacional del pastoreo,Ganadería extensiva,,,Diseño de planes de pastoreo rotacional basados en el tiempo de recuperación del pastizal. ,"Aunque la eficacia del pastoreo rotacional ha sido evidenciada en ambientes semiáridos, todavía es una metodología de manejo nueva para muchos ganaderos. Por ello, la principal restricción para su puesta en marcha es la falta de formación y  el escaso número de explotaciones que están implantándola en la actualidad.  "
60,Native seeds sowing for pasture improvement.,4,2,Extensive livestock systems,21,8,All,,,"Quality improvement of pasture can be achieved through sowing with native legumes seeds.  Livestock grazing is necessary to decrease the competence of grasses, and to spread legumes seeds.",1,1,1,1,1,1,1,4,1,1,"A more covered soil increases its capacity of water filter and capture. A soil with more legumes decrease the nitrogen lixiviation. This measure involves an economic investement.
",3,Mejora de pastos con especies pratenses nativas,Ganadería extensiva,,,La mejora con semillas autóctonas puede aumentar la cantidad y la calidad del pasto disponible. Para que esta medida sea efectiva debe estar acompañada de un manejo específico del ganado.,"La mejora con semillas autóctonas puede aumentar la cantidad y la calidad del pasto disponible. Mejora del suelo, de la biodiversidad y del bienestar animal. Precisa de inversiones económicas inicialmente, que a medio plazo serán recuperadas."
61,Diversification of tree species and increase of intraespecific diversification,4,2,Extensive livestock systems,21,8,All,,,"More species than oaks more adapted to climate change scenarios can be introduced. Oaks more adaptated can be planted to increase genetic resourses in ""dehesas""",2,2,2,1,2,1,1,4,2,3,This measure can increase the avalaibility of food in summer if palatable species are chosen. ,3,Diversificación de especies arbóreas y aumeno d ela divesidad intraespecífica. ,Ganadería extensiva,,,"Esta medida puede suponer un aumento de recursos forrajeros si se incluyen especies palatables que puedan alimentar al ganado en verano, cuando la disponibilidad de alimento es menor","Supone mejoras en la estructura del suelo, evitando erosión, y en la biodiversidad (aumento de la cantidad de especies presentes) Un aumento de la disponibilidad de alimento en verano supondrá mejoras del bienestar animal. Precisa de inversiones económicas que a medio plazo se traducirán en ahorros y mayor autonomía forrajera. Se precisa asistencia técnica para la selección de las especies  "
62,Keyline design,4,2,Extensive livestock systems,24,8,All,,,"Keyline design is a technique for maximizing beneficial use of water resources of a piece of land. The Keyline refers to a specific topographic feature linked to water flow. In this way, rainfall  infiltrates the soil",3,2,2,1,1,1,2,4,2,1,Keyline design involves an economic investment. ,3,Diseño en Línea Clave,Ganadería extensiva,,, Keyline es una técnica para maximizar los recursos hídricos basado en un diseño topográfico de un patrón de  líneas paralelas realizadas con un arado Yeomans.,"Esta medida conlleva inversión y en muchas ocasiones rediseño de otros elementos de la finca como caminos, charcas o vallados. No obstante, es considerable la mejora en la estructura y capacidad de retención de agua en el suelo, evitando la erosión y promoviendo el almacenamiento de carbono en el suelo, así como mayor presencia de organismos (hongos, bacterias e insectos) que suponen una mayor biodiversidad y complejidad"
63,Trashumance,4,2,Extensive livestock systems,22,8,Summer,,, A seasonal movement of people with their livestock between fixed summer and winter pastures. This movement allows pasture to recovery and reduce the purchase of concentrates in summer. ,1,2,2,1,1,1,1,5,1,2,Administrative limitations and avalibility of summer grasslands in the north of Spain are the main constraints for this measures. ,3,Trashumancia,Ganadería extensiva,Verano,,Práctica centenaria que consiste en el movimiento estacional del ganado para el aprovechamiento de pastos de verano en las zonas altas de montaña.,"Existen dificultades administrativas para la práctica de esta medida relacionadas con las restricciones  sanitarias de cada CCAA. Supone ahorros al reducirse la compra de insumos. Se trata de una medida que supone importantes mejoras en el mantenimiento de suelos, almacenamiento de agua, biodiversidad y bienestar animal"
64,Fodder production autonomy though diversification and other techniques,4,2,Dairy,21,3,Spring and summer,1,Spring and summer,"Increase fodder autonomy through diversification, double end crops and other techniques",2,2,2,1,2,1,2,5,2,2,"Increasing fodder autonomy  means decreasing fodder purchase dependency and facing high costs (as in Mediterranean conditions fodder prices raise more than other crops). This can be achieved in several ways: by increasing the number of fodder crops cultivated, by using double-end crops, by producing fodder in rainfed plots (alfalfa) and not only on irrigated land, by improving silage conditions, etc.",3,Autonomía en la producción de forrajes a través de la diversificación y otras técnicas,Ganadería de leche,Primavera y verano,"Primavera, verano","La diversificación de cultivos, rotaciones más complejas, cultivos  doble aptitud, etc. contribuye a dicha autonomía","Incrementar la autonomía forrajera es reducir la dependencia externa en periodos críticos en los que su precio es muy volátil. Esto se logra incrementando el número de especies forrajeras en rotación, introduciendo  cereales con doble uso, destinando parcelas de secano a forraje (alfalfa) y no solo las zonas irrigadas, mejorando las técnicas y condiciones de los ensilados, etc."
65,Grain production autonomy,4,2,Dairy,21,3,Spring and summer,1,Spring and summer,Increase grain autonomy for reduced dependency on feedstuff,2,2,2,1,2,1,2,5,2,2,"Grain autonomy is not as critical as fodder due to greater availability even in bad years. However, cereals are in most places easy to produce and a part of the crop rotation for dairy farms. Grain autonomy reduce feedstuff dependency. Diversification in grain production is also a part of the measure. This meausre can be difficult to achieve in some mountain areas in Atlantic Spain.",3,Autonomía en la producción de cereales,Ganadería de leche,Primavera y verano,"Primavera, verano",Potenciar la autoproducción de alimento seco para evitar dependencias externas,"La autonomía en alimento seco no es tan crítica como la de forraje, por su mayor diversidad y accesibilidad incluso en años malos. Los cereales forman parte de la rotación de otros cultivos de los ganaderos. La diversificación también se incluye aquí. Esta medida puede ser compleja en zonas montañosas del norte de España"
66,Ventilation  systems in barn and milking parlour,4,2,Dairy,23,3,Spring and summer,,,"Solutions, usually depending on energy consumption, for decreasing temperatures in  animal buildings during heat waves",1,3,2,2,2,2,1,4,2,1,"Fans and similar solutions are common in Mediterranean dairy farms. They are more frequent when building design is poor. However, they entail high energy consumption, GHG emissions and high costs compared to passive ventilation",3,Sitemas de ventilación en establo y sala de ordeño,Ganadería de leche,Primavera y verano,,"Soluciones variadas, que consumen energía, para reducir el estrés térmico en olas de calor ","Los ventiladores son comunes en muchas granjas con climas cálidos, en la mayoría de los casos cuando el diseño de las infraestructuras no permite la ventilación pasiva. No obstante son soluciones que requieren un consumo energético importante, emisiones de GEI y un coste relativamente elevado."
67,Animal density in buildings,4,2,Dairy,23,3,Spring and summer,,,Reduce animal density for increasing animal comfort during heat waves,1,2,1,2,2,2,1,2,2,1,"When animal density in buildings is reduced, the thermal comfort increases. This can be only achieved when there is enough place for reducing density and therefore may be limited in some cases. ",3,Densidad de animales,Ganadería de leche,Primavera y verano,,Reducir la densidad de animales en las instalaciones para incrementar el confort térmico,"Cuando la densidad de animales se reduce, el confort térmico aumenta. Eso requiere que las instalaciones sean suficientemente grandes, algo que puede ser limitante en instalaciones no modernizadas"
68,Water sprays for cooling animals,4,2,Dairy,23,3,Summer,,,Water sprayers for decreasing animals' body temperature,1,1,2,2,3,2,1,4,2,1,Water sprayers have been tried in warmer areas with success. It entails a litte investment but higher consumption of water and energy,3,Nebulizadores de agua,Ganadería de leche,Verano,,Instalación de atomizadores de agua para reducir la temperatura corporal de los animales,"Los nebulizadores han sido probados con éxito en áreas más áridas. No obstante, se incurre en una pequeña inversión, pero en mayores costes fijos de energía y agua"
69,Design of buildings,4,2,Dairy,23,3,Summer,,,Redesign barns and milking parlour for allowing passive ventilation,2,2,1,2,2,2,1,4,1,1,"Open barns (8 meters height and no walls) have shown to be successful for enhancing passive ventilation. However, it entails a complete re-building of the farm facilities , with the positive effect of making the farm more efficient, being the negative aspect a very hgh investment. Other partial solutions exist, such as shading East-South parts of the barn, installing walls that can be removed, better insulation of roofs, etc.",3,Diseño de las infraestructuras,Ganadería de leche,Verano,,Rediseño de las instalaciones para favorecer una mayor ventilación pasiva,"Los establos abiertos (8 metros de altura y abiertos por los lados) están demostrando buenos resultados. Aseguran una buena circulación pasiva y una gestión más eficiente del espacio, pero también un coste muy alto de inversión. Pueden aplicarse soluciones parciales como sombrear las orientaciones más conflictivas, hacer cerramientos que se puedan abrir, aislar techos, etc."
70,Adjustment of rations in critical periods,4,2,Dairy,21,3,Spring and summer,,,Adjusting rations for easing digestability and reduce heat production,1,2,2,2,2,2,1,5,1,1,"Balance fiber,  raw protein and fat content to reduce heat produced and/or compensate milk production. ",3,Ajuste de la ración en momentos críticos,Ganadería de leche,Primavera y verano,,Ajustar la ración para una mayor digestibilidad y reducir estrés térmico,"Equilibrar la fibra, proteína y grasa en la ración para reducir la producción de calor durante la digestión y compensar pérdidas de cantidad y calidad de leche en olas de calor. Esta medida es beneficiosa para el bienestar animal y puede suponer ahorros económicos"
71,Genetic improvement for greater thermotolerance,4,2,Dairy,22,3,All,,,Selecting genetics for obtaining more resistant animals,2,1,2,2,2,2,1,5,1,2,"Several papers show that within Frissian breed (the most dominantin the sector), there are animals more adapted to thermal stress",3,Mejora genética para una mayor tolerancia térmica,Ganadería de leche,Todas,,Selección genética para obtener animales más adaptables al calor,"Incluso en la raza Frisona (la más común en el sector), hay evidencias de poblaciones mejor adaptadas al estrés térmico"
72,More drinking points evenly distributed,4,2,Dairy,21,3,All,,,Make water more accesible to cows to overcome milk losses and heat stress,1,2,2,2,2,2,1,5,1,1,Making water more accesible to cows means having more drinking points but also strategically positioned to ease access o less dominant animals. It entails a higher water consumption but can compensate milk production losses,3,Mejorar la accesibilidad a puntos de agua,Ganadería de leche,Todas,,Mejorar la accesibilidad al agua para compensar pérdidas de leche y mejorar confort térmico,Hacer el agua más accesible implica no solo poner más puntos de agua sino colocarlos estratégicamente para dar acceso a los animales menos dominantes. Un mayor consumo reduce el estrés térmico y está relacionado con el bienestar animal y una mayor producción de leche
73,Insurance,4,2,Dairy,21,8,All,,,Insurance fne-tuned to critical ACIs for dairy farms,2,2,2,2,2,2,2,5,1,2,Insurance based on real impacts identified in the AgriAdapt project and real calculation of ACI (and its impacts on mil quantity and quality),3,Seguros,Ganadería de leche,Todas,,Seguros ajustados a  parámetros agroclimáticos críticos medibles y objetivos,Lograr un modelo de seguros basado en impactos reales y medibles basado en los indicadores agroclimáticos críticos del proyecto AgriAdapt que tienen un efecto sobre la cantidad y calidad de la leche
74,Composting of organic material,3,3,"Apple, vineyards",33,2,All,1,All,"Composting organic material such as straw, clover grass or manure before applying it on the field. ",1,1,2,1,1,1,2,5,2,1,"Compost supplies the soil life with food, which increases the humus content and therefore the storage of CO2. Organic material enables the soil to absorb more water from (heavy) rainfall and to store it longer in the soil during drought periods. Humus also stabilises the soil, decreases soil erosion and leaching of nutrients into the ground and surface water. Yields are stabilised over time. Composting creates more work load. ",1,Kompostierung von organischem Material,"Apfel, Wein",Ganzjährig,Ganzjährig,"Kompostierung von organischem Material wie Stroh, Stallmist, Grünschnitt vor der Ausbringung.","Kompostgaben versorgen das Bodenleben mit Nahrung, das zum Humusaufbau und somit zur CO2-Speicherung beiträgt bzw. die Wasser- und Nährstoffspeicherfähigkeit des Bodens erhöht. Somit werden Nährstoffverluste vermieden.  Humus trägt zu einer stabileren Bodenstruktur und zu einem reduzierten Erosionsrisiko bei. Insgesamt können dadurch stabilere Erträge erwirtschaftet werden.  Kompostierung ist jedoch mit einem höheren Arbeitsaufwand verbunden."
75,Composting of organic material,3,1,All crops,13,2,All,1,All,"Composting organic material like straw, clover grass, manure before applying on the plots. ",1,1,2,1,1,1,2,5,2,1,"Compost supplies the soil life with food, which increases the humus content and therefore the storage of CO2. Organic material enables the soil to absorb more water from (heavy) rainfall and to store it longer in the soil during drought periods. Humus also stabilises the soil, decreases soil erosion and leaching of nutrients into the ground and surface water. Yields are stabilised over time. Composting creates more work load. ",1,Kompostierung von organischem Material,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,"Kompostierung von organischem Material wie Stroh, Stallmist, Grünschnitt vor der Ausbringung.","Kompostgaben versorgen das Bodenleben mit Nahrung, das zum Humusaufbau und somit zur CO2-Speicherung beiträgt bzw. die Wasser- und Nährstoffspeicherfähigkeit des Bodens erhöht. Somit werden Nährstoffverluste vermieden.  Humus trägt zu einer stabileren Bodenstruktur und zu einem reduzierten Erosionsrisiko bei. Insgesamt können dadurch stabilere Erträge erwirtschaftet werden.  Kompostierung ist jedoch mit einem höheren Arbeitsaufwand verbunden."
76,Reduced tillage,3,1,All crops,13,2,All,1,All,"Conservation tillage (e.g. reduced tillage, mulch / direct seeding) to avoid the turning of the soil.",2,1,1,1,1,1,2,5,2,1,"A reduced soil management improves the soil structure (better water infiltration and water keeping), protects the soil, decreases soil erosion and  leaching of nutrients into the ground and surface water. Less field crossings are necessary so less working hours and less fuel is needed. Initial investments are maybe needed or the use of subcontractor services.",1,Konservierende Bodenbearbeitung,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,"Konservierende Bodenbearbeitung (z.B. reduzierte Bodenbearbeitung, Direktsaat) zur Vermeidung der Bodenwendung.","Eine reduzierte Bodenbearbeitung verbessert die Bodenstruktur (erhöhte Wasserinfiltration und Wasserhaltevermögen), reduziert das Erosionsrisiko und die Auswaschung von Nährstoffen in Grund- und Oberflächengewässer. Weniger Arbeitsgänge schonen den Boden, reduzieren den Arbeitsaufwand und den Treibstoffbedarf. Neuinvestitionen sind evtl. notwendig, können aber ggf. durch Lohnunternehmer vermieden werden. "
77,Reduced tillage,3,3,"Apple, vineyards",33,2,All,1,All,"Conservation tillage (e.g. reduced tillage, mulch seeding) to avoid the turning of the soil.",2,1,1,1,1,1,2,5,2,3,"A reduced soil management improves the soil structure (better water infiltration and water keeping), protects the soil, decreases soil erosion and  leaching of nutrients into the ground and surface water. Less field crossings are necessary so less working hours and less fuel is needed. Initial investments are maybe needed or the use of subcontractor services.",1,Konservierende Bodenbearbeitung,"Apfel, Wein",Ganzjährig,Ganzjährig,"Konservierende Bodenbearbeitung (z.B. reduzierte Bodenbearbeitung, Mulchsaat) zur Vermeidung der Bodenwendung.","Eine reduzierte Bodenbearbeitung verbessert die Bodenstruktur (erhöhte Wasserinfiltration und Wasserhaltevermögen), reduziert das Erosionsrisiko und die Auswaschung von Nährstoffen in Grund- und Oberflächengewässer. Weniger Arbeitsgänge schonen den Boden, reduzieren den Arbeitsaufwand und den Treibstoffbedarf. Neuinvestitionen sind evtl. notwendig, können aber ggf. durch Lohnunternehmer vermieden werden. "
78,Cultivation of legumes,3,1,All crops,13,2,All,1,All,Including legumes in the crop rotation or in grassland.,1,1,2,1,1,1,2,5,2,2,"The cultivation of legumes improves the formation of humus and supports soil organisms. The soil structure is improved throuh this (better infiltration and water storage). Through the fixation of atmospheric nitrogen, less synthetic fertiliser is used, which leads to less nitrate leaching. Legumes are also able to solubilise minerals such as phosphorous and make them available for other plants, and they provide a habitat for insects. ",1,Anbau von Leguminosen,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Eingliederung von Leguminosen in die Fruchtfolge oder in das Grünland.,"Der Leguminosenanbau fördert den Humusaufbau und unterstützt das Bodenleben. Dadurch verbessert sich die Bodenstruktur (verbesserte Infiltration und Wasserhaltefähigkeit). Durch die Möglichkeit der Nutzung von Luftstickstoff, kann synthetischer N-Dünger eingespart werden. Leguminosen sind zudem in der Lage, Mineralstoffe im Boden aufzuschließen und somit für andere Pflanzen verfügbar zu machen. Leguminosen bieten vielen Insekten Lebensraum."
79,Leaving crop residues on the field ,3,1,All crops,13,2,All,8,All,"After the harvest, crop residues such as straw or stubble is left on the field and a shallow incorporation is conducted ",1,1,2,1,1,2,2,2,2,1,"The crop residues on the field avoid bare soil after the harvest. This means that the risk for erosion, for drying out and for overheating is reduced. At the same time, the crop residues are the food for soil organisms which contribute to the formation of humus. ",1,Belassen von Ernterückständen auf dem Feld,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Ernterückstände werden auf den Ackerflächen belassen und flach eingearbeitet.,"Die Ernterückstände auf den Feldern verhindern, dass der Boden nach der Ernte unbedeckt bleibt. Dies bedeutet, dass dadurch das Risiko durch Erosion, Austrocknung und Überhitzung vermindert wird. Gleichzeitig stellen die Ernterückstände wertvolles Futter für die Bodenorganismen dar, die u.a. für den Humusaufbau zuständig sind. "
80,"Establishment of hedges, plant strips",3,1,All crops,13,2,All,7,All,Establishing hedges or permanent plant strips helps to avoid erosion by heavy rain fall/wind on hilly fields ,2,1,2,1,1,1,2,4,2,2,"The hedges or permanent plant strips on hilly fields can reduce or stop soil erosion by heavy rainfall/wind, so the valuable topsoil stays on the field. Nutrients and pesticides won´t be washed into surface waters and the plants and hedges store CO2 and offer a habitat for flora and fauna. On plane fields, hedges can stop erosion by wind and create a good microclimate. Initial costs are necessary.",1,Anlage von Hecken und Pflanzenstreifen,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Die Anlage von Hecken oder dauerhaften Pflanzenstreifen reduziert Bodenerosion durch Starkniederschläge/Wind ,Hecken oder dauerhafte Pflanzenstreifen auf hügligen Flächen können das Risiko für Bodenerosion durch Starkniederschläge/Wind reduzieren. Nährstoffe und Pestizide werden somit nicht in Oberflächengewässer abtransportiert.  Die  Pflanzen speichern CO2 und bieten Flora und Fauna Lebensraum. Auf ebenen Flächen können Hecken die Winderosion reduzieren und für ein gutes Kleinklima sorgen. Anfangsinvestitionen sind notwendig.
81,Locally placed fertiliser,3,1,All crops,13,1,Spring and summer,,,Locally applied fertiliser such as Cultan-Fertiliser ensures an efficient nutrition of the plants in dry regions ,1,2,1,2,1,1,2,2,2,3,"In dry years or regions, the locally applied fertilizer has the advantage that there is no need for water to dissolve the nitrogen. It is placed directly in the root zone. Less nitrogen is washed out, less ammonia is emitted and there is therefore no negative effect on flora and fauna. One challenge could be the investment in the technique or finding a suitable subcontractor.",1,Ausbringung von platziertem Dünger,Alle Ackerfrüchte,Frühjahr und Sommer,,Platzierte Düngung wie Cultan-Düngung gewährleisten eine effiziente Pflanzenernährung in trockenen Zeiten / Regionen,"In trockenen Jahren oder Regionen hat die positionierte Düngung den Vorteil, dass kein Wasser notwendig ist, um den Stickstoff zu lösen. Der Dünger wird direkt in die Wurzelzone platziert. Dadurch wird weniger N ausgewaschen bzw. Ammonium emittiert und somit Flora und Fauna nicht negativ beeinflusst. Eine Herausforderung kann die technische Investition sein bzw. einen geeigneten Lohnunternehmer zu finden. "
82,Optimal nutrient supply ,3,1,All crops,13,8,All,,,Optimised nutrient supply of the plants with main nutrients and micro nutrients ,1,1,1,1,1,1,2,5,2,2,"Only optimally nourished plants are stable, healthy and are more resilient to the effects of climate change. An adapted fertilisation avoids leaching of nutrients into ground and surface water, which would affect flora and fauna negatively. GHG and ammonia emissions are reduced and soil organisms can profit from an optimal nutrient supply (including lime). This measure can help to reduce the amount of fertilisation. ",1,Optimale Nährstoffversorgung,Alle Ackerfrüchte,Ganzjährig,,Optimierte Nährstoffversorgung der Pflanzen mit Hauptnährstoffen und Spurenelementen,"Nur optimal versorgte Pflanzen sind gesund und stabil gegenüber dem Klimawandel (Stress). Eine angepasste Düngung reduziert die Gefahr der Nährstoffauswaschung in Grund- und Oberflächengewässer, was wiederum Flora und Fauna negativ beeinflussen kann. Das Risiko von Treibhausgas- und Ammoniumemissionen wird reduziert. Das Bodenleben profitiert von einer optimalen Nährstoffversorgung (inkl. Kalk). Ggf. können die Düngerausgaben reduziert werden."
83,Optimal nutrient supply ,3,3,"Apple, vineyards",33,8,All,,,Optimised nutrient supply of the plants with main nutrients and micro nutrients ,1,1,1,1,1,1,2,5,2,2,"Only optimally nourished plants are stable, healthy and are more resilient to the effects of climate change. An adapted fertilisation avoids leaching of nutrients into ground and surface water, which would affect flora and fauna negatively. GHG and ammonia emissions are reduced and soil organisms can profit from an optimal nutrient supply (including lime). This measure can help to reduce the amount of fertilisation. ",1,Optimale Nährstoffversorgung,"Apfel, Wein",Ganzjährig,,Optimierte Nährstoffversorgung der Pflanzen mit den Hauptnährstoffen und Spurenelementen,"Nur optimal versorgte Pflanzen sind gesund und stabil gegenüber dem Klimawandel (Stress). Eine angepasste Düngung reduziert die Gefahr der Nährstoffauswaschung in Grund- und Oberflächengewässer, was wiederum Flora und Fauna negativ beeinflussen kann. Das Risiko von Treibhausgas- und Ammoniumemissionen wird reduziert. Das Bodenleben profitiert von einer optimalen Nährstoffversorgung (inkl. Kalk). Ggf. können die Düngerausgaben reduziert werden."
84,Extension of crop rotation,3,1,All crops,11,8,All,,,Extension of the crop rotation makes the production more diverse and more resilient to climate change (> 3 crops),2,2,2,1,1,1,2,5,3,2,"A wider crop rotation improves the soil quality through the different crops and their root exudates, nutrient needs and contribution to humus formation. This is positive for the diversity of soil organisms and in general for the biodiversity. Due to a good and diverse crop rotation, pesticides can be reduced. The soil structure is improved, which improves the water infiltration and storage in the soil. The work load may increase.",1,Erweiterung der Fruchtfolge,Alle Ackerfrüchte,Ganzjährig,,Diversifizierung des Anbaus durch die Erweiterung der Fruchtfolge  (> 3 Kulturen),"Eine erweiterte Fruchtfolge wirkt sich positiv auf die Bodenstruktur aus, bedingt durch die unterschiedlichen Wurzelexsudate, Nährstoffaneignungs- und Humusaufbauvermögen. Davon profitieren die Bodenorganismen. Eine gesunde Bodenstruktur kann Wasser besser infiltrieren und länger im Boden halten. Eine vielseitige Fruchtfolge fördert die Biodiversität und kann zu einer Einsparung von Pestiziden führen. Die Arbeitsbelastung kann sich erhöhen."
85,Cultivation of diverse catch crop mixtures,3,1,All crops,13,8,All,,,The cultivation of a diverse catch crop mixtures after the harvest of a main crop protects the whole soil system,1,1,2,1,1,1,2,5,2,2,"A diverse catch crop mixture protects the soil from drying out, from too much heat and erosion. The plants absorb the nutrients the main crop has left in the soil so nutrient leaching can be avoided. At the same time, the plants store CO2, contribute to humus formation and a good soil structure by rooting in the soil. The plants improve the biodiversity on the field, especially when it is a diverse catch crop mixture. Seed costs could increase.",1,Anbau von vielseitigen Zwischenfruchtmischungen,Alle Ackerfrüchte,Ganzjährig,,Verbesserung der Bodenstruktur durch den Anbau von vielseitigen Zwischenfruchtmischungen nach der Ernte der Hauptkultur,"Eine vielseitige Zwischenfruchtmischung schützt den Boden vor Austrocknung, Überhitzung und Erosion. Die Pflanzen nehmen verbleibende Nährstoffe der Vorkultur im Boden auf und verhindern so eine Auswaschung. Gleichzeitig binden die Pflanzen CO2, fördern den Humusaufbau und eine gute Bodenstruktur durch eine vielseitige Durchwurzelung. Insbesondere vielseitige Mischungen verbessern die Biodiversität auf dem Feld. Evtl. höhere Saatgutkosten."
