index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
66,Design of buildings,4,2,Dairy,23,3,Summer,,,Redesign barns and milking parlour for allowing passive ventilation,2,2,1,2,2,2,1,4,1,1,"Open barns (8 meters height and no walls) have shown to be successful for enhancing passive ventilation. However, it entails a complete re-building of the farm facilities , with the positive effect of making the farm more efficient, being the negative aspect a very hgh investment. Other partial solutions exist, such as shading East-South parts of the barn, installing walls that can be removed, better insulation of roofs, etc.",3,Diseño de las infraestructuras,Ganadería de leche,Verano,,Rediseño de las instalaciones para favorecer una mayor ventilación pasiva,"Los establos abiertos (8 metros de altura y abiertos por los lados) están demostrando buenos resultados. Aseguran una buena circulación pasiva y una gestión más eficiente del espacio, pero también un coste muy alto de inversión. Pueden aplicarse soluciones parciales como sombrear las orientaciones más conflictivas, hacer cerramientos que se puedan abrir, aislar techos, etc."
67,Adjustment of rations in critical periods,4,2,Dairy,21,3,Spring and summer,,,Adjusting rations for easing digestability and reduce heat production,1,2,2,2,2,2,1,5,1,1,"Balance fiber,  raw protein and fat content to reduce heat produced and/or compensate milk production. ",3,Ajuste de la ración en momentos críticos,Ganadería de leche,Primavera y verano,,Ajustar la ración para una mayor digestibilidad y reducir estrés térmico,"Equilibrar la fibra, proteína y grasa en la ración para reducir la producción de calor durante la digestión y compensar pérdidas de cantidad y calidad de leche en olas de calor. Esta medida es beneficiosa para el bienestar animal y puede suponer ahorros económicos"
68,Genetic improvement for greater thermotolerance,4,2,Dairy,22,3,All,,,Selecting genetics for obtaining more resistant animals,2,1,2,2,2,2,1,5,1,2,"Several papers show that within Frissian breed (the most dominantin the sector), there are animals more adapted to thermal stress",3,Mejora genética para una mayor tolerancia térmica,Ganadería de leche,Todas,,Selección genética para obtener animales más adaptables al calor,"Incluso en la raza Frisona (la más común en el sector), hay evidencias de poblaciones mejor adaptadas al estrés térmico"
69,More drinking points evenly distributed,4,2,Dairy,21,3,All,,,Make water more accesible to cows to overcome milk losses and heat stress,1,2,2,2,2,2,1,5,1,1,Making water more accesible to cows means having more drinking points but also strategically positioned to ease access o less dominant animals. It entails a higher water consumption but can compensate milk production losses,3,Mejorar la accesibilidad a puntos de agua,Ganadería de leche,Todas,,Mejorar la accesibilidad al agua para compensar pérdidas de leche y mejorar confort térmico,Hacer el agua más accesible implica no solo poner más puntos de agua sino colocarlos estratégicamente para dar acceso a los animales menos dominantes. Un mayor consumo reduce el estrés térmico y está relacionado con el bienestar animal y una mayor producción de leche
70,Insurance,4,2,Dairy,21,8,All,,,Insurance fne-tuned to critical ACIs for dairy farms,2,2,2,2,2,2,2,5,1,2,Insurance based on real impacts identified in the AgriAdapt project and real calculation of ACI (and its impacts on mil quantity and quality),3,Seguros,Ganadería de leche,Todas,,Seguros ajustados a  parámetros agroclimáticos críticos medibles y objetivos,Lograr un modelo de seguros basado en impactos reales y medibles basado en los indicadores agroclimáticos críticos del proyecto AgriAdapt que tienen un efecto sobre la cantidad y calidad de la leche
71,Composting of organic material,3,3,"Apple, vineyards",33,2,All,1,All,"Composting organic material such as straw, clover grass or manure before applying it on the field. ",1,1,2,1,1,1,2,5,2,1,"Compost supplies the soil life with food, which increases the humus content and therefore the storage of CO2. Organic material enables the soil to absorb more water from (heavy) rainfall and to store it longer in the soil during drought periods. Humus also stabilises the soil, decreases soil erosion and leaching of nutrients into the ground and surface water. Yields are stabilised over time. Composting creates more work load. ",1,Kompostierung von organischem Material,"Apfel, Wein",Ganzjährig,Ganzjährig,"Kompostierung von organischem Material wie Stroh, Stallmist, Grünschnitt vor der Ausbringung.","Kompostgaben versorgen das Bodenleben mit Nahrung, das zum Humusaufbau und somit zur CO2-Speicherung beiträgt bzw. die Wasser- und Nährstoffspeicherfähigkeit des Bodens erhöht. Somit werden Nährstoffverluste vermieden.  Humus trägt zu einer stabileren Bodenstruktur und zu einem reduzierten Erosionsrisiko bei. Insgesamt können dadurch stabilere Erträge erwirtschaftet werden.  Kompostierung ist jedoch mit einem höheren Arbeitsaufwand verbunden."
72,Composting of organic material,3,1,All crops,13,2,All,1,All,"Composting organic material like straw, clover grass, manure before applying on the plots. ",1,1,2,1,1,1,2,5,2,1,"Compost supplies the soil life with food, which increases the humus content and therefore the storage of CO2. Organic material enables the soil to absorb more water from (heavy) rainfall and to store it longer in the soil during drought periods. Humus also stabilises the soil, decreases soil erosion and leaching of nutrients into the ground and surface water. Yields are stabilised over time. Composting creates more work load. ",1,Kompostierung von organischem Material,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,"Kompostierung von organischem Material wie Stroh, Stallmist, Grünschnitt vor der Ausbringung.","Kompostgaben versorgen das Bodenleben mit Nahrung, das zum Humusaufbau und somit zur CO2-Speicherung beiträgt bzw. die Wasser- und Nährstoffspeicherfähigkeit des Bodens erhöht. Somit werden Nährstoffverluste vermieden.  Humus trägt zu einer stabileren Bodenstruktur und zu einem reduzierten Erosionsrisiko bei. Insgesamt können dadurch stabilere Erträge erwirtschaftet werden.  Kompostierung ist jedoch mit einem höheren Arbeitsaufwand verbunden."
73,Reduced tillage,3,1,All crops,13,2,All,1,All,"Conservation tillage (e.g. reduced tillage, mulch / direct seeding) to avoid the turning of the soil.",2,1,1,1,1,1,2,5,2,1,"A reduced soil management improves the soil structure (better water infiltration and water keeping), protects the soil, decreases soil erosion and  leaching of nutrients into the ground and surface water. Less field crossings are necessary so less working hours and less fuel is needed. Initial investments are maybe needed or the use of subcontractor services.",1,Konservierende Bodenbearbeitung,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,"Konservierende Bodenbearbeitung (z.B. reduzierte Bodenbearbeitung, Direktsaat) zur Vermeidung der Bodenwendung.","Eine reduzierte Bodenbearbeitung verbessert die Bodenstruktur (erhöhte Wasserinfiltration und Wasserhaltevermögen), reduziert das Erosionsrisiko und die Auswaschung von Nährstoffen in Grund- und Oberflächengewässer. Weniger Arbeitsgänge schonen den Boden, reduzieren den Arbeitsaufwand und den Treibstoffbedarf. Neuinvestitionen sind evtl. notwendig, können aber ggf. durch Lohnunternehmer vermieden werden. "
74,Reduced tillage,3,3,"Apple, vineyards",33,2,All,1,All,"Conservation tillage (e.g. reduced tillage, mulch seeding) to avoid the turning of the soil.",2,1,1,1,1,1,2,5,2,3,"A reduced soil management improves the soil structure (better water infiltration and water keeping), protects the soil, decreases soil erosion and  leaching of nutrients into the ground and surface water. Less field crossings are necessary so less working hours and less fuel is needed. Initial investments are maybe needed or the use of subcontractor services.",1,Konservierende Bodenbearbeitung,"Apfel, Wein",Ganzjährig,Ganzjährig,"Konservierende Bodenbearbeitung (z.B. reduzierte Bodenbearbeitung, Mulchsaat) zur Vermeidung der Bodenwendung.","Eine reduzierte Bodenbearbeitung verbessert die Bodenstruktur (erhöhte Wasserinfiltration und Wasserhaltevermögen), reduziert das Erosionsrisiko und die Auswaschung von Nährstoffen in Grund- und Oberflächengewässer. Weniger Arbeitsgänge schonen den Boden, reduzieren den Arbeitsaufwand und den Treibstoffbedarf. Neuinvestitionen sind evtl. notwendig, können aber ggf. durch Lohnunternehmer vermieden werden. "
75,Cultivation of legumes,3,1,All crops,13,2,All,1,All,Including legumes in the crop rotation or in grassland.,1,1,2,1,1,1,2,5,2,2,"The cultivation of legumes improves the formation of humus and supports soil organisms. The soil structure is improved throuh this (better infiltration and water storage). Through the fixation of atmospheric nitrogen, less synthetic fertiliser is used, which leads to less nitrate leaching. Legumes are also able to solubilise minerals such as phosphorous and make them available for other plants, and they provide a habitat for insects. ",1,Anbau von Leguminosen,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Eingliederung von Leguminosen in die Fruchtfolge oder in das Grünland.,"Der Leguminosenanbau fördert den Humusaufbau und unterstützt das Bodenleben. Dadurch verbessert sich die Bodenstruktur (verbesserte Infiltration und Wasserhaltefähigkeit). Durch die Möglichkeit der Nutzung von Luftstickstoff, kann synthetischer N-Dünger eingespart werden. Leguminosen sind zudem in der Lage, Mineralstoffe im Boden aufzuschließen und somit für andere Pflanzen verfügbar zu machen. Leguminosen bieten vielen Insekten Lebensraum."
76,Leaving crop residues on the field ,3,1,All crops,13,2,All,8,All,"After the harvest, crop residues such as straw or stubble is left on the field and a shallow incorporation is conducted ",1,1,2,1,1,2,2,2,2,1,"The crop residues on the field avoid bare soil after the harvest. This means that the risk for erosion, for drying out and for overheating is reduced. At the same time, the crop residues are the food for soil organisms which contribute to the formation of humus. ",1,Belassen von Ernterückständen auf dem Feld,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Ernterückstände werden auf den Ackerflächen belassen und flach eingearbeitet.,"Die Ernterückstände auf den Feldern verhindern, dass der Boden nach der Ernte unbedeckt bleibt. Dies bedeutet, dass dadurch das Risiko durch Erosion, Austrocknung und Überhitzung vermindert wird. Gleichzeitig stellen die Ernterückstände wertvolles Futter für die Bodenorganismen dar, die u.a. für den Humusaufbau zuständig sind. "
77,"Establishment of hedges, plant strips",3,1,All crops,13,2,All,7,All,Establishing hedges or permanent plant strips helps to avoid erosion by heavy rain fall/wind on hilly fields ,2,1,2,1,1,1,2,4,2,2,"The hedges or permanent plant strips on hilly fields can reduce or stop soil erosion by heavy rainfall/wind, so the valuable topsoil stays on the field. Nutrients and pesticides won´t be washed into surface waters and the plants and hedges store CO2 and offer a habitat for flora and fauna. On plane fields, hedges can stop erosion by wind and create a good microclimate. Initial costs are necessary.",1,Anlage von Hecken und Pflanzenstreifen,Alle Ackerfrüchte,Ganzjährig,Ganzjährig,Die Anlage von Hecken oder dauerhaften Pflanzenstreifen reduziert Bodenerosion durch Starkniederschläge/Wind ,Hecken oder dauerhafte Pflanzenstreifen auf hügligen Flächen können das Risiko für Bodenerosion durch Starkniederschläge/Wind reduzieren. Nährstoffe und Pestizide werden somit nicht in Oberflächengewässer abtransportiert.  Die  Pflanzen speichern CO2 und bieten Flora und Fauna Lebensraum. Auf ebenen Flächen können Hecken die Winderosion reduzieren und für ein gutes Kleinklima sorgen. Anfangsinvestitionen sind notwendig.
78,Locally placed fertiliser,3,1,All crops,13,1,Spring and summer,,,Locally applied fertiliser such as Cultan-Fertiliser ensures an efficient nutrition of the plants in dry regions ,1,2,1,2,1,1,2,2,2,3,"In dry years or regions, the locally applied fertilizer has the advantage that there is no need for water to dissolve the nitrogen. It is placed directly in the root zone. Less nitrogen is washed out, less ammonia is emitted and there is therefore no negative effect on flora and fauna. One challenge could be the investment in the technique or finding a suitable subcontractor.",1,Ausbringung von platziertem Dünger,Alle Ackerfrüchte,Frühjahr und Sommer,,Platzierte Düngung wie Cultan-Düngung gewährleisten eine effiziente Pflanzenernährung in trockenen Zeiten / Regionen,"In trockenen Jahren oder Regionen hat die positionierte Düngung den Vorteil, dass kein Wasser notwendig ist, um den Stickstoff zu lösen. Der Dünger wird direkt in die Wurzelzone platziert. Dadurch wird weniger N ausgewaschen bzw. Ammonium emittiert und somit Flora und Fauna nicht negativ beeinflusst. Eine Herausforderung kann die technische Investition sein bzw. einen geeigneten Lohnunternehmer zu finden. "
79,Optimal nutrient supply ,3,1,All crops,13,8,All,,,Optimised nutrient supply of the plants with main nutrients and micro nutrients ,1,1,1,1,1,1,2,5,2,2,"Only optimally nourished plants are stable, healthy and are more resilient to the effects of climate change. An adapted fertilisation avoids leaching of nutrients into ground and surface water, which would affect flora and fauna negatively. GHG and ammonia emissions are reduced and soil organisms can profit from an optimal nutrient supply (including lime). This measure can help to reduce the amount of fertilisation. ",1,Optimale Nährstoffversorgung,Alle Ackerfrüchte,Ganzjährig,,Optimierte Nährstoffversorgung der Pflanzen mit Hauptnährstoffen und Spurenelementen,"Nur optimal versorgte Pflanzen sind gesund und stabil gegenüber dem Klimawandel (Stress). Eine angepasste Düngung reduziert die Gefahr der Nährstoffauswaschung in Grund- und Oberflächengewässer, was wiederum Flora und Fauna negativ beeinflussen kann. Das Risiko von Treibhausgas- und Ammoniumemissionen wird reduziert. Das Bodenleben profitiert von einer optimalen Nährstoffversorgung (inkl. Kalk). Ggf. können die Düngerausgaben reduziert werden."
80,Optimal nutrient supply ,3,3,"Apple, vineyards",33,8,All,,,Optimised nutrient supply of the plants with main nutrients and micro nutrients ,1,1,1,1,1,1,2,5,2,2,"Only optimally nourished plants are stable, healthy and are more resilient to the effects of climate change. An adapted fertilisation avoids leaching of nutrients into ground and surface water, which would affect flora and fauna negatively. GHG and ammonia emissions are reduced and soil organisms can profit from an optimal nutrient supply (including lime). This measure can help to reduce the amount of fertilisation. ",1,Optimale Nährstoffversorgung,"Apfel, Wein",Ganzjährig,,Optimierte Nährstoffversorgung der Pflanzen mit den Hauptnährstoffen und Spurenelementen,"Nur optimal versorgte Pflanzen sind gesund und stabil gegenüber dem Klimawandel (Stress). Eine angepasste Düngung reduziert die Gefahr der Nährstoffauswaschung in Grund- und Oberflächengewässer, was wiederum Flora und Fauna negativ beeinflussen kann. Das Risiko von Treibhausgas- und Ammoniumemissionen wird reduziert. Das Bodenleben profitiert von einer optimalen Nährstoffversorgung (inkl. Kalk). Ggf. können die Düngerausgaben reduziert werden."
81,Extension of crop rotation,3,1,All crops,11,8,All,,,Extension of the crop rotation makes the production more diverse and more resilient to climate change (> 3 crops),2,2,2,1,1,1,2,5,3,2,"A wider crop rotation improves the soil quality through the different crops and their root exudates, nutrient needs and contribution to humus formation. This is positive for the diversity of soil organisms and in general for the biodiversity. Due to a good and diverse crop rotation, pesticides can be reduced. The soil structure is improved, which improves the water infiltration and storage in the soil. The work load may increase.",1,Erweiterung der Fruchtfolge,Alle Ackerfrüchte,Ganzjährig,,Diversifizierung des Anbaus durch die Erweiterung der Fruchtfolge  (> 3 Kulturen),"Eine erweiterte Fruchtfolge wirkt sich positiv auf die Bodenstruktur aus, bedingt durch die unterschiedlichen Wurzelexsudate, Nährstoffaneignungs- und Humusaufbauvermögen. Davon profitieren die Bodenorganismen. Eine gesunde Bodenstruktur kann Wasser besser infiltrieren und länger im Boden halten. Eine vielseitige Fruchtfolge fördert die Biodiversität und kann zu einer Einsparung von Pestiziden führen. Die Arbeitsbelastung kann sich erhöhen."
82,Cultivation of diverse catch crop mixtures,3,1,All crops,13,8,All,,,The cultivation of a diverse catch crop mixtures after the harvest of a main crop protects the whole soil system,1,1,2,1,1,1,2,5,2,2,"A diverse catch crop mixture protects the soil from drying out, from too much heat and erosion. The plants absorb the nutrients the main crop has left in the soil so nutrient leaching can be avoided. At the same time, the plants store CO2, contribute to humus formation and a good soil structure by rooting in the soil. The plants improve the biodiversity on the field, especially when it is a diverse catch crop mixture. Seed costs could increase.",1,Anbau von vielseitigen Zwischenfruchtmischungen,Alle Ackerfrüchte,Ganzjährig,,Verbesserung der Bodenstruktur durch den Anbau von vielseitigen Zwischenfruchtmischungen nach der Ernte der Hauptkultur,"Eine vielseitige Zwischenfruchtmischung schützt den Boden vor Austrocknung, Überhitzung und Erosion. Die Pflanzen nehmen verbleibende Nährstoffe der Vorkultur im Boden auf und verhindern so eine Auswaschung. Gleichzeitig binden die Pflanzen CO2, fördern den Humusaufbau und eine gute Bodenstruktur durch eine vielseitige Durchwurzelung. Insbesondere vielseitige Mischungen verbessern die Biodiversität auf dem Feld. Evtl. höhere Saatgutkosten."
83,Efficient irrigation systems,3,1,All crops,14,1,Spring and summer,,,"Installation of efficient irrigation systems (e.g. drip irrigation, tensiometres, on-site meteorologic station)  ",2,1,2,2,1,2,2,4,2,3,"An efficient irrigation system encourages deligent use of water ressources especially in dry times and/or regions. The dependence on water restrictions is reduced when less water is needed and new techniques should reduce the energy costs and therefore GHG emissions. With an efficient water irrigation no leaching of nutrients will happen. For some farmers the investments could be too high, so an irrigation cooperations could be the solution.",1,Effiziente Bewässerungssysteme,Alle Ackerfrüchte,Frühjahr und Sommer,,"Einrichtung eines effizienten Bewässerungssystems (z.B. tensiometrische Sonden, örtliche Wetterstationen, Tröpfchen)","Ein effizientes Bewässerungssystem unterstützt den sorgsamen Umgang mit den Wasserressourcen. Die Abhängigkeit von Wassernutzungseinschränkungen reduziert sich, wenn weniger Wasser benötigt wird. Neue Technik und geringerer Wasserverbrauch ermöglichen eine Senkung der Energiekosten. Durch eine perfekt abgestimmte Bewässerung kann eine Nährstoffauswaschung verhindert werden. Eine Bewässerungskooperation könnte die Investitionskosten reduzieren."
84,Efficient irrigation systems,3,3,"Apple, vineyards",34,1,Spring and summer,,,"Installation of efficient irrigation systems (e.g. drip irrigation, tensiometres, on-site meteorologic station)  ",2,1,2,2,1,2,2,4,2,3,"An efficient irrigation system encourages deligent use of water ressources especially in dry times and/or regions. The dependence on water restrictions is reduced when less water is needed and new techniques should reduce the energy costs and therefore GHG emissions. With an efficient water irrigation no leaching of nutrients will happen. For some farmers the investments could be too high, so an irrigation cooperation could be the solution.",1,Effiziente Bewässerungssysteme,"Apfel, Wein",Frühjahr und Sommer,,"Einrichtung eines effizienten Bewässerungssystems (z.B. tensiometrische Sonden, örtliche Wetterstationen, Tröpfchen)","Ein effizientes Bewässerungssystem unterstützt den sorgsamen Umgang mit den Wasserressourcen. Die Abhängigkeit von Wassernutzungseinschränkungen reduziert sich, wenn weniger Wasser benötigt wird. Neue Technik und geringerer Wasserverbrauch ermöglichen eine Senkung der Energiekosten. Durch eine perfekt abgestimmte Bewässerung kann eine Nährstoffauswaschung verhindert werden. Eine Bewässerungskooperation könnte die Investitionskosten reduzieren."
85,Agroforestry,3,1,All crops,11,8,All,,,Planting trees or hedges on agricultural fields - a combination of forestry and agriculture,2,1,2,1,1,1,2,4,3,2,"Agroforestry offers a second income (energy or high grad woods or trees for food production) whereby the first investment could be very high.
These additional plants increase the biodiversity, improve the humus formation, create a positive microclimate and reduce leaching of nutrients by the extensive root system. Deep laying nutrients can also be used. The working load increases due to planting, tree care and harvest of the wood.
",1,Agroforst,Ackerfrüchte,Ganzjährig,,Pflanzung von Bäumen oder Hecken auf landwirtschaftlichen Flächen - eine Kombination aus Forst und Landwirtschaft,"Agroforst bietet eine zweite Einkommenssäule (Energie-, Nutz-, Nahrungsgehölze), wobei die Anfangsinvestitionen hoch sein können.
Die zusätzlichen Pflanzen erhöhen die Biodiversität, fördern die Humusbildung, produzieren ein positives Kleinklima, reduzieren die Nährstoffauswaschung durch ihr ausladendes Wurzelsystem und können tieferliegende Nährstoffe nutzen. Zusätzlicher Arbeitsaufwand für Anlage, Pflege und Ernte der Gehölze."
86,Agroforestry,3,2,Grassland,21,8,All,,,Planting trees or hedges on agricultural fields - a combination of forestry and agriculture,2,1,2,1,1,1,2,4,3,2,"Agroforest offers a second income (energy or high grad woods or trees for food production) whereby the first investment could be very high.
These additional plants increase the biodiversity, improve the humus formation, create a positive microclimate/shade and reduce leaching of nutrients due to the extensive root system. Deep laying nutrients can also be used. The working load increases due to planting, tree care and harvest of the wood.
",1,Agroforst,Grünland,Ganzjährig,,Pflanzung von Bäumen oder Hecken auf landwirtschaftlichen Flächen - eine Kombination aus Forst- und Landwirtschaft,"Agroforst bietet eine zweite Einkommenssäule (Energie-, Nutz-, Nahrungsgehölze), wobei die Anfangsinvestitionen hoch sein können.
Die zusätzlichen Pflanzen erhöhen die Biodiversität, fördern die Humusbildung, produzieren ein positives Kleinklima/Schatten, reduzieren die Nährstoffauswaschung durch ihr ausladendes Wurzelsystem und können tieferliegende Nährstoffe nutzen. Zusätzlicher Arbeitsaufwand für Anlage, Pflege und Ernte der Gehölze."
87,Careful soil cultivation,3,1,All crops,13,2,All,,,Driving on the field only under dry conditions when the soil is stable. Use of lighter machines / tractors.,1,1,2,1,1,1,2,5,2,1,"A careful soil cultivation is very important to maintain the soil structure and to avoid soil compaction. Only an intact soil structure can lead to a good water infiltration and storage over a longer time. A good soil structure offers good conditions for soil organisms and therefore for soil biodiversity as well as ideal conditions for good yields. Furthermore, cultivating dry soils uses less petrol than cultivating heavy wet soils.
",1,Schonende Bodenbearbeitung,Alle Ackerfrüchte,Ganzjährig,,"Befahren des Ackers nur bei abgetrocknetem,   tragfähigem Boden. Einsatz von leichteren Maschinen/Traktoren","Eine schonende Bodenbearbeitung ist Voraussetzung, um eine gute Bodenstruktur zu erhalten und Bodenverdichtung zu vermeiden. Nur eine intakte Bodenstruktur kann Regenwasser infiltrieren und dies über eine längere Zeit im Boden halten. Dies ist eine gute Grundlage für eine hohe Aktivität des Bodenlebens und somit für eine hohe Biodiversität im Boden, Voraussetzung für gute Erträge.  Geringerer Treibstoffaufwand auf abgetrockneten Böden. "
88,Careful soil cultivation,3,3,"Apple, vineyards",33,2,All,,,Driving on the field only under dry conditions when the soil is stable. Use of lighter machines / tractors.,1,1,2,1,1,1,2,5,2,1,"A careful soil cultivation is very important to maintain the soil structure and to avoid soil compaction. Only an intact soil structure can lead to a good water infiltration and storage over a longer time. A good soil structure offers good conditions for soil organisms and therefore for soil biodiversity as well as ideal conditions for good yields. Furthermore, cultivating dry soils uses less petrol than cultivating heavy wet soils.
",1,Schonende Bodenbearbeitung,"Apfel, Wein",Ganzjährig,,"Befahren des Ackers nur bei abgetrocknetem, tragfähigem Boden. Einsatz von leichteren Maschinen/Traktoren","Eine schonende Bodenbearbeitung ist Voraussetzung, um eine gute Bodenstruktur zu erhalten und Bodenverdichtung zu vermeiden. Nur eine intakte Bodenstruktur kann Regenwasser infiltrieren und dies über eine längere Zeit im Boden halten. Dies ist eine gute Grundlage für eine hohe Aktivität des Bodenlebens und somit für eine hohe Biodiversität im Boden, Voraussetzung für gute Erträge.  Geringerer Treibstoffeinsatz auf abgetrockneten Böden. "
89,Careful soil cultivation,3,2,Grassland,21,2,All,,,Driving on the field only under dry conditions when the soil is stable. Use of lighter machines / tractors.,1,1,2,1,1,1,2,5,2,1,"A careful soil cultivation is very important to maintain the soil structure and to avoid soil compaction. Only an intact soil structure can lead to a good water infiltration and storage over a longer time. A good soil structure offers good conditions for soil organisms and therefore for soil biodiversity as well as ideal conditions for good yields. Furthermore, cultivating dry soils uses less petrol than cultivating heavy wet soils.
",1,Schonende Bodenbearbeitung,Grünland,Ganzjährig,,"Befahren des Ackers nur bei abgetrocknetem,   tragfähigem Boden. Einsatz von leichteren  Maschinen/Traktoren","Eine schonende Bodenbearbeitung ist Voraussetzung, um eine gute Bodenstruktur zu erhalten und Bodenverdichtung zu vermeiden. Nur eine intakte Bodenstruktur kann Regenwasser infiltrieren und dies über eine längere Zeit im Boden halten. Dies ist eine gute Grundlage für eine hohe Aktivität des Bodenlebens und somit für eine hohe Biodiversität im Boden, Voraussetzung für gute Erträge.  Geringerer Treibstoffeinsatz auf abgetrockneten Böden. "
90,Protection against hail and heavy precipitation,3,3,"Apple, vineyards",32,8,Spring and summer,6,Spring and summer,"Installing nets and foil roofs against hail, frost, heavy precipitation and radiation ",2,1,2,2,2,2,2,4,2,2,"The protection devices need some investments but the benefit, especially against hail, is very high. A further side effect is the protection from bird and wesp feeding.  The product quality can be improved considerably.",1,Schutzeinrichtungen gegen  Hagel- und Starkniederschläge,"Apfel, Wein",Ganzjährig,Frühjahr und Sommer,"Anbringen von Schutzeinrichtungen wie Netze und Foliendächer gegen Hagel, Frost, Starkniederschläge und Strahlung ","Die Schutzvorrichtungen bedürfen einiger Anfangsinvestitionen, jedoch ist der Nutzen speziell gegen Hagel sehr hoch. Auf die Produktionseinheit berechnet, reduziert es die THG-Emissionen. Ein weiterer Nebeneffekt ist, dass die Früchte vor Vogel- und Wespenfraß geschützt sind. Die Erntequalität kann damit maßgeblich verbessert werden."
91,Adaptation of the range of varieties,3,1,All crops,12,3,Summer,1,Summer,Cultivation of varieties adapted to drier and/or hotter conditions,2,2,2,2,1,2,2,5,2,2,"Cultivating adapted varieties offers stable yields for all crops. A combination of ""common varieties"" and varieties adapted to a warmer and drier climate spreads the cultivation risk. The irrigation requirement can be reduced or the use of soil water improved. The cultivation of new varieties has to go in hand with the market requirements.",1,Anpassung des Sortenspektrums,Alle Ackerfrüchte,Sommer,Sommer,"Anbau von Sorten, die an trockenere und/oder heißere Bedingungen angepasst sind. ",Der Anbau von angepassten Sorten ermöglicht stabilere Erträgen. Zusammen mit den herkömmlichen Sorten streut diese Maßnahme das Anbaurisiko. Ggf. sinkt der Bewässerungsbedarf bzw. das Bodenwasser wird besser ausgenutzt. Der Anbau neuer Sorten muss mit den Abnehmern ggf. abgesprochen werden.
92,Adaptation of the range of varieties,3,3,"Apple, vineyards",31,3,Summer,1,Summer,Cultivation of varieties adapted to drier and/or hotter conditions,2,2,2,2,1,2,2,5,2,2,"Cultivating adapted varieties offers stable yields for all crops. A combination of ""common varieties"" and varieties adapted to a warmer and drier climate spreads the cultivation risk. The irrigation requirement can be reduced or the use of soil water improved. The cultivation of new varieties has to go in hand with the market requirements.",1,Anpassung des Sortenspektrums,"Apfel, Wein",Sommer,Sommer,"Anbau von Sorten, die an trockenere und/oder heißere Bedingungen angepasst sind. ",Der Anbau von angepassten Sorten bietet die Möglichkeit von stabileren Erträgen. Zusammen mit den herkömmlichen Sorten streut diese Maßnahme das Anbaurisiko.  Ggf. sinkt der Bewässerungsbedarf bzw. das Bodenwasser wird besser ausgenutzt. Der Anbau neuer Sorten muss mit den Abnehmern ggf. abgesprochen werden bzw. die Kunden darauf hingeführt werden.
93,Adaptation of the range of varieties/species,3,2,Grassland,21,3,Summer,1,Summer,Cultivation of varieties adapted to drier and/or hotter conditions,2,2,2,2,1,2,2,5,2,2,"Cultivating adapted varieties/species stabilises the yield. Together with the common varieties/species (e.g. tall fescue, alfalfa, poa pratensis) this measure spreads the cultivation risk.  The irrigation requirement can be reduced or the use of soil water improved.  The cultivation of (new) heat-/drought tolerant grassland seed mixtures has to be implemented on suitable fields and according to the use. ",1,Anpassung des Sorten-/Artenspektrums,Grünland,Sommer,Sommer,"Anbau von Sorten, die an trockenere und/oder heißere Bedingungen angepasst sind. ","Der Anbau von angepassten Sorten/Arten (z.B. Rohrschwingel, Wiesenrispe, Luzerne) bietet die Möglichkeit von stabileren Erträgen. Zusammen mit den herkömmlichen Sorten/Arten streut diese Maßnahme das Anbaurisiko. Der Anbau (neuer) hitze-/ trockentoleranter Grünland-(nach-)saatmischungen muss auf geeigneten Standorten erfolgen und die vorgesehene Nutzung berücksichtigen."
94,Cultivation of late ripening varieties,3,3,"Apple, vineyards",31,3,Fall,,,"Cultivation of late ripening varieties, e.g
 vine: Cabernet Sauvignon, Cabernet Franc
 apple: Topaz, Florina und Solaris",2,2,2,2,2,2,2,5,2,2,"Due to the longer vegetation period till October/November, late ripening varieties can be cultivated, especially new red wine varieties from southern regions. This creates market opportunities for new varieties from the region.",1,Anbau von spätreifenden Obst-/Weinsorten,"Apfel, Wein",Herbst,,"Anbau von spätreifenden Sorten z.B.: 
Wein: Cabernet Sauvignon, Cabernet Franc 
Apfel: Topaz, Florina und Solaris","Aufgrund länger werdender Vegetationsperioden bis in den Oktober/November werden auch spät reifende Sorten anbauwürdig, besonders neue Rotweinsorten aus südlichen Regionen. Daraus ergibt sich die Chance eines neuen Marktes für neue Sorten aus der heimischen Region."
